Room   1:   0 -  89 | Satisfaction:   84%. 
Room   2:  14 -  61 | Satisfaction:   84%. 
Room   3:  93 -  66 | Satisfaction:   84%. 
Room   4:  73 -  64 | Satisfaction:   84%. 
Room   5:  50 -   7 | Satisfaction:   88%. 
Room   6:  63 -  27 | Satisfaction:   72%. 
Room   7:  94 | Satisfaction:  100%. 
Room   8:  15 -  86 | Satisfaction:   76%. 
Room   9:  90 -   1 | Satisfaction:   80%. 
Room  10:  54 -  18 | Satisfaction:   84%. 
Room  11:  70 -   3 | Satisfaction:   72%. 
Room  12:  81 -  31 | Satisfaction:   76%. 
Room  13:  69 -  57 | Satisfaction:   84%. 
Room  14:  78 -  71 | Satisfaction:   80%. 
Room  15:  45 -  83 | Satisfaction:   60%. 
Room  16:  30 -  96 | Satisfaction:   68%. 
Room  17:  49 | Satisfaction:  100%. 
Room  18:  76 -  55 | Satisfaction:   84%. 
Room  19:  92 -  48 | Satisfaction:   72%. 
Room  20:  13 -  74 | Satisfaction:   76%. 
Room  21:  42 -  35 | Satisfaction:   80%. 
Room  22:  53 -  80 | Satisfaction:   84%. 
Room  23:  40 -   2 | Satisfaction:   76%. 
Room  24:  10 -  52 | Satisfaction:   80%. 
Room  25:  37 -  33 | Satisfaction:   80%. 
Room  26:  11 | Satisfaction:  100%. 
Room  27:  25 -  46 | Satisfaction:   72%. 
Room  28:  58 -   8 | Satisfaction:   88%. 
Room  29:  59 -  87 | Satisfaction:   84%. 
Room  30:  20 -  24 | Satisfaction:   60%. 
Room  31:  88 -  65 | Satisfaction:   88%. 
Room  32:  16 -  68 | Satisfaction:   72%. 
Room  33:   4 -  41 | Satisfaction:   68%. 
Room  34:  22 -  85 | Satisfaction:   64%. 
Room  35:  72 -  56 | Satisfaction:   88%. 
Room  36:  32 -  62 | Satisfaction:   56%. 
Room  37:  91 -  51 | Satisfaction:   68%. 
Room  38:  75 -  39 | Satisfaction:   80%. 
Room  39:  26 -  28 | Satisfaction:   76%. 
Room  40:  17 | Satisfaction:  100%. 
Room  41:  19 -  21 | Satisfaction:   88%. 
Room  42:  23 -  36 | Satisfaction:   84%. 
Room  43:   6 -  99 | Satisfaction:   88%. 
Room  44:  97 -  43 | Satisfaction:   76%. 
Room  45:  77 -  12 | Satisfaction:   84%. 
Room  46:  84 -  82 | Satisfaction:   92%. 
Room  47:  44 -  29 | Satisfaction:   56%. 
Room  48:  60 -   5 | Satisfaction:   76%. 
Room  49:  67 -  47 | Satisfaction:   60%. 
Room  50:   9 -  79 | Satisfaction:   76%. 
Room  51:  98 -  34 | Satisfaction:   80%. 
Room  52:  95 -  38 | Satisfaction:   60%. 
