Room   1:   0 - 556 | Satisfaction:   95%. 
Room   2:   1 - 267 | Satisfaction:   95%. 
Room   3:   2 - 237 | Satisfaction:   95%. 
Room   4:   3 - 926 | Satisfaction:   95%. 
Room   5:   4 - 982 | Satisfaction:   95%. 
Room   6:   5 - 349 | Satisfaction:   95%. 
Room   7:   6 - 379 | Satisfaction:  100%. 
Room   8:   7 - 615 | Satisfaction:   95%. 
Room   9:   8 - 666 | Satisfaction:   95%. 
Room  10:   9 - 385 | Satisfaction:   95%. 
Room  11:  10 - 845 | Satisfaction:   95%. 
Room  12:  11 - 136 | Satisfaction:   95%. 
Room  13:  12 -  88 | Satisfaction:   95%. 
Room  14:  13 - 611 | Satisfaction:  100%. 
Room  15:  14 - 396 | Satisfaction:  100%. 
Room  16:  15 - 606 | Satisfaction:  100%. 
Room  17:  16 - 393 | Satisfaction:   90%. 
Room  18:  17 - 520 | Satisfaction:   95%. 
Room  19:  18 -  85 | Satisfaction:  100%. 
Room  20:  19 - 869 | Satisfaction:  100%. 
Room  21:  20 -  70 | Satisfaction:   95%. 
Room  22:  21 - 542 | Satisfaction:  100%. 
Room  23:  22 - 236 | Satisfaction:   95%. 
Room  24:  23 - 248 | Satisfaction:   95%. 
Room  25:  24 - 177 | Satisfaction:   95%. 
Room  26:  25 - 336 | Satisfaction:   90%. 
Room  27:  26 - 128 | Satisfaction:   95%. 
Room  28:  27 - 587 | Satisfaction:   95%. 
Room  29:  28 - 117 | Satisfaction:   95%. 
Room  30:  29 - 172 | Satisfaction:   95%. 
Room  31:  30 - 568 | Satisfaction:  100%. 
Room  32:  31 -  59 | Satisfaction:   95%. 
Room  33:  32 - 116 | Satisfaction:   95%. 
Room  34:  33 - 603 | Satisfaction:   95%. 
Room  35:  34 - 570 | Satisfaction:   95%. 
Room  36:  35 - 107 | Satisfaction:   95%. 
Room  37:  36 - 264 | Satisfaction:  100%. 
Room  38:  37 - 446 | Satisfaction:   95%. 
Room  39:  38 - 406 | Satisfaction:  100%. 
Room  40:  39 - 162 | Satisfaction:   95%. 
Room  41:  40 -  83 | Satisfaction:   90%. 
Room  42:  41 - 860 | Satisfaction:   95%. 
Room  43:  42 - 291 | Satisfaction:   95%. 
Room  44:  43 -  61 | Satisfaction:   95%. 
Room  45:  44 - 720 | Satisfaction:   95%. 
Room  46:  45 - 839 | Satisfaction:  100%. 
Room  47:  46 - 512 | Satisfaction:   95%. 
Room  48:  47 - 609 | Satisfaction:   95%. 
Room  49:  48 - 220 | Satisfaction:  100%. 
Room  50:  49 -  81 | Satisfaction:   95%. 
Room  51:  50 - 251 | Satisfaction:  100%. 
Room  52:  51 - 218 | Satisfaction:  100%. 
Room  53:  52 - 522 | Satisfaction:   90%. 
Room  54:  53 - 600 | Satisfaction:   95%. 
Room  55:  54 - 298 | Satisfaction:   95%. 
Room  56:  55 -  89 | Satisfaction:   95%. 
Room  57:  56 - 789 | Satisfaction:   95%. 
Room  58:  57 - 589 | Satisfaction:   90%. 
Room  59:  58 - 179 | Satisfaction:   95%. 
Room  60:  60 - 624 | Satisfaction:  100%. 
Room  61:  62 - 125 | Satisfaction:   95%. 
Room  62:  63 - 480 | Satisfaction:  100%. 
Room  63:  64 - 163 | Satisfaction:   95%. 
Room  64:  65 - 946 | Satisfaction:   95%. 
Room  65:  66 - 409 | Satisfaction:   95%. 
Room  66:  67 - 695 | Satisfaction:  100%. 
Room  67:  68 - 143 | Satisfaction:   95%. 
Room  68:  69 - 144 | Satisfaction:   95%. 
Room  69:  71 - 925 | Satisfaction:   95%. 
Room  70:  72 - 868 | Satisfaction:  100%. 
Room  71:  73 - 362 | Satisfaction:   95%. 
Room  72:  74 - 822 | Satisfaction:  100%. 
Room  73:  75 - 673 | Satisfaction:   95%. 
Room  74:  76 - 494 | Satisfaction:   95%. 
Room  75:  77 - 629 | Satisfaction:   95%. 
Room  76:  78 - 118 | Satisfaction:  100%. 
Room  77:  79 - 320 | Satisfaction:   95%. 
Room  78:  80 - 308 | Satisfaction:   95%. 
Room  79:  82 - 968 | Satisfaction:   75%. 
Room  80:  84 - 176 | Satisfaction:   95%. 
Room  81:  86 - 138 | Satisfaction:   95%. 
Room  82:  87 - 403 | Satisfaction:   95%. 
Room  83:  90 - 740 | Satisfaction:   95%. 
Room  84:  91 - 712 | Satisfaction:   95%. 
Room  85:  92 - 658 | Satisfaction:   90%. 
Room  86:  93 - 928 | Satisfaction:   95%. 
Room  87:  94 - 990 | Satisfaction:   95%. 
Room  88:  95 - 209 | Satisfaction:   95%. 
Room  89:  96 - 745 | Satisfaction:   95%. 
Room  90:  97 - 889 | Satisfaction:  100%. 
Room  91:  98 - 366 | Satisfaction:  100%. 
Room  92:  99 - 295 | Satisfaction:   95%. 
Room  93: 100 - 294 | Satisfaction:  100%. 
Room  94: 101 - 311 | Satisfaction:  100%. 
Room  95: 102 - 519 | Satisfaction:   90%. 
Room  96: 103 - 555 | Satisfaction:  100%. 
Room  97: 104 - 602 | Satisfaction:  100%. 
Room  98: 105 - 535 | Satisfaction:   95%. 
Room  99: 106 - 528 | Satisfaction:   95%. 
Room 100: 108 - 736 | Satisfaction:   95%. 
Room 101: 109 - 140 | Satisfaction:   95%. 
Room 102: 110 - 973 | Satisfaction:   90%. 
Room 103: 111 - 729 | Satisfaction:   95%. 
Room 104: 112 - 166 | Satisfaction:   95%. 
Room 105: 113 - 228 | Satisfaction:   95%. 
Room 106: 114 - 865 | Satisfaction:   95%. 
Room 107: 115 - 173 | Satisfaction:  100%. 
Room 108: 119 - 595 | Satisfaction:  100%. 
Room 109: 120 - 781 | Satisfaction:   95%. 
Room 110: 121 - 513 | Satisfaction:  100%. 
Room 111: 122 - 462 | Satisfaction:  100%. 
Room 112: 123 - 557 | Satisfaction:   90%. 
Room 113: 124 - 307 | Satisfaction:   95%. 
Room 114: 126 - 559 | Satisfaction:   95%. 
Room 115: 127 - 234 | Satisfaction:  100%. 
Room 116: 129 - 893 | Satisfaction:   95%. 
Room 117: 130 - 282 | Satisfaction:  100%. 
Room 118: 131 - 567 | Satisfaction:  100%. 
Room 119: 132 - 816 | Satisfaction:   95%. 
Room 120: 133 - 696 | Satisfaction:  100%. 
Room 121: 134 - 386 | Satisfaction:   95%. 
Room 122: 135 - 539 | Satisfaction:  100%. 
Room 123: 137 - 319 | Satisfaction:   95%. 
Room 124: 139 - 549 | Satisfaction:   90%. 
Room 125: 141 - 724 | Satisfaction:   95%. 
Room 126: 142 - 493 | Satisfaction:   95%. 
Room 127: 145 - 168 | Satisfaction:   95%. 
Room 128: 146 - 277 | Satisfaction:   95%. 
Room 129: 147 - 186 | Satisfaction:   95%. 
Room 130: 148 - 713 | Satisfaction:  100%. 
Room 131: 149 - 442 | Satisfaction:   75%. 
Room 132: 150 - 849 | Satisfaction:   90%. 
Room 133: 151 - 770 | Satisfaction:   95%. 
Room 134: 152 - 504 | Satisfaction:   95%. 
Room 135: 153 - 223 | Satisfaction:  100%. 
Room 136: 154 - 231 | Satisfaction:   95%. 
Room 137: 155 - 596 | Satisfaction:   95%. 
Room 138: 156 - 914 | Satisfaction:   95%. 
Room 139: 157 - 592 | Satisfaction:   95%. 
Room 140: 158 - 275 | Satisfaction:   95%. 
Room 141: 159 - 902 | Satisfaction:   95%. 
Room 142: 160 - 571 | Satisfaction:   95%. 
Room 143: 161 - 259 | Satisfaction:  100%. 
Room 144: 164 - 510 | Satisfaction:  100%. 
Room 145: 165 - 433 | Satisfaction:   95%. 
Room 146: 167 - 681 | Satisfaction:   90%. 
Room 147: 169 - 680 | Satisfaction:   95%. 
Room 148: 170 - 699 | Satisfaction:   95%. 
Room 149: 171 - 613 | Satisfaction:  100%. 
Room 150: 174 - 470 | Satisfaction:   95%. 
Room 151: 175 - 331 | Satisfaction:   90%. 
Room 152: 178 - 945 | Satisfaction:  100%. 
Room 153: 180 - 637 | Satisfaction:  100%. 
Room 154: 181 - 215 | Satisfaction:   95%. 
Room 155: 182 - 426 | Satisfaction:   95%. 
Room 156: 183 - 935 | Satisfaction:   95%. 
Room 157: 184 - 844 | Satisfaction:   90%. 
Room 158: 185 - 201 | Satisfaction:   95%. 
Room 159: 187 - 356 | Satisfaction:  100%. 
Room 160: 188 - 636 | Satisfaction:   95%. 
Room 161: 189 - 791 | Satisfaction:  100%. 
Room 162: 190 - 340 | Satisfaction:  100%. 
Room 163: 191 - 326 | Satisfaction:   95%. 
Room 164: 192 - 471 | Satisfaction:  100%. 
Room 165: 193 - 871 | Satisfaction:   95%. 
Room 166: 194 - 413 | Satisfaction:   95%. 
Room 167: 195 - 257 | Satisfaction:   95%. 
Room 168: 196 - 648 | Satisfaction:   95%. 
Room 169: 197 - 245 | Satisfaction:   95%. 
Room 170: 198 - 619 | Satisfaction:   95%. 
Room 171: 199 - 597 | Satisfaction:   95%. 
Room 172: 200 - 338 | Satisfaction:  100%. 
Room 173: 202 - 659 | Satisfaction:   90%. 
Room 174: 203 - 485 | Satisfaction:   95%. 
Room 175: 204 - 260 | Satisfaction:   95%. 
Room 176: 205 - 255 | Satisfaction:   90%. 
Room 177: 206 - 256 | Satisfaction:   95%. 
Room 178: 207 - 324 | Satisfaction:   95%. 
Room 179: 208 - 777 | Satisfaction:  100%. 
Room 180: 210 - 357 | Satisfaction:   95%. 
Room 181: 211 - 280 | Satisfaction:   95%. 
Room 182: 212 - 466 | Satisfaction:   95%. 
Room 183: 213 - 509 | Satisfaction:  100%. 
Room 184: 214 - 635 | Satisfaction:   95%. 
Room 185: 216 - 254 | Satisfaction:   95%. 
Room 186: 217 - 704 | Satisfaction:   95%. 
Room 187: 219 - 802 | Satisfaction:  100%. 
Room 188: 221 - 599 | Satisfaction:   95%. 
Room 189: 222 - 489 | Satisfaction:  100%. 
Room 190: 224 - 533 | Satisfaction:   95%. 
Room 191: 225 - 856 | Satisfaction:  100%. 
Room 192: 226 - 846 | Satisfaction:  100%. 
Room 193: 227 - 303 | Satisfaction:   90%. 
Room 194: 229 - 404 | Satisfaction:   95%. 
Room 195: 230 - 689 | Satisfaction:   95%. 
Room 196: 232 - 788 | Satisfaction:   95%. 
Room 197: 233 - 440 | Satisfaction:  100%. 
Room 198: 235 - 857 | Satisfaction:   95%. 
Room 199: 238 - 991 | Satisfaction:   75%. 
Room 200: 239 - 484 | Satisfaction:  100%. 
Room 201: 240 - 395 | Satisfaction:   95%. 
Room 202: 241 - 676 | Satisfaction:  100%. 
